bureau,MD9N,N46,N,N,,,,AA,1
bureau,MD22N,N77,N,N,,,,AA,2
bureau,MD22M,N78,N,N,,,,AA,3
chest of drawers,MD22M,N78,N,N,,,,AA,3
bureau,VA4N,N109,N,N,,,,AA,4
bureau,VA12N,N131,N,N,,,,AA,5
bureau,VA15N,N139(*),N,N,,,,AA,6
bureau,VA15N,N139(*),N,Y,,AUX,,AA,6
bureau,VA21N,N153,N,N,,,,AA,7
bureau,VA43N,N195,N,N,,,,AA,8
bureau,VA46N,N207,N,N,,,,AA,9
bureau,VA59N,N241,N,N,,,,AA,10
bureau,NC8N,N317,N,N,,,,AA,11
bureau,NC14N,N331,N,N,,,,AA,12
bureau,NC24N,N352,N,N,,,,AA,13
bureau,NC25N,N353,N,N,,,,AA,14
bureau,NC36N,N381,N,N,,,,AA,15
NR,NC38N,N385,,N,,,,AA,16
dresser,NC52N,N429,N,Y, ,NEW,,AA,17
bureau,NC52N,N429,N,N,,,,AA,17
bureau,SC6N,N208,N,N,,,,AA,18
big mirror,SC6N,N208,O,N,,,,AA,18
trunk,SC7N,N209,N,N,,,,AA,19
bureau,SC7N,N209,N,N,"""in and out"" ",,,AA,19
in and out,SC7N,N209,Q,Y, ,INA,,AA,19
bureau,SC11N,N213,N,N,,,,AA,20
chifforobe,SC11N,N213,N,N,fancy one,,,AA,20
chest of drawers,SC11M!,2N213!,O,N,"""plain"" ",,,AA,21
plain,SC11M!,2N213!,A,Y, ,INA,,AA,21
drawers,SC11M!,2N213!,N,N,,,,AA,21
bureaus,SC11M!,2N213!,N,N,"""mirror"" ",,,AA,21
mirror,SC11M!,2N213!,N,Y, ,INA,,AA,21
trunk,SC16N,N217,N,N,,,,AA,22
bureau,SC16N,N217,N,N,"""mirror"" ",SIC,,AA,22
mirror,SC16N,N217,N,Y, ,INA,,AA,22
chifforobe,SC18N,N219,N,N,,,,AA,23
bureau,SC19N,N220,N,N,,,,AA,24
bureau,SC22N,N223,N,N,,,,AA,25
trunk,SC24N,N225,N,N,,,,AA,26
bureau,SC38N,N239,N,N,,,,AA,27
chest,SC38N,N239,N,Y, ,OLD,,AA,27
chifforobe,SC42N,N243,N,N,not as wide as a bureau,,,AA,28
chiffonier,SC42N,N243,N,N, ,,,AA,28
chest of drawers,SC42N,N243,N,N,,,,AA,28
chest of drawers,SC42N,N243,N,N,no mirror,,,AA,28
chest of drawers,SC42N,N243,N,N,no mirror,,,AA,28
bureau,SC42N,N243,N,N,,,,AA,28
bureau,SC42N,N243,N,N,,,,AA,28
dresser,SC42N,N243,N,N,,,,AA,28
dresser,SC42N,N243,N,N,,,,AA,28
dresser,SC42N,N243,N,N,,,,AA,28
NR,SC42M,N243X,,N,,,,AA,29
chest of drawers,GA1N,N246,O,N,,,,AA,30
bureau,GA1N,N246,N,N,,,,AA,30
bureau,GA2N,N247,N,N,,,,AA,31
dresser,GA2N,N247,N,N,,,,AA,31
bureau,GA4N,N249,N,N,,,,AA,32
